,line,2017_passenger,variable,value,bus_line
576,北３,2235,2017,115.0,北3号系統
577,北８,2771,2017,118.0,北8号系統
578,西１,726,2017,204.0,西1号系統
579,西２,3864,2017,147.0,西2号系統
580,西３,1197,2017,201.0,西3号系統
581,西４,1295,2017,138.0,西4号系統
582,西５,1485,2017,204.0,西5号系統
583,西６,1206,2017,162.0,西6号系統
584,西８,1686,2017,173.0,西8号系統
585,南１,1020,2017,232.0,南1号系統
586,南２,1741,2017,143.0,南2号系統
587,南３,666,2017,145.0,南3号系統
588,南５,2078,2017,98.0,南5号系統
589,南８,548,2017,202.0,南8号系統
590,Ｍ１,1233,2017,96.0,M1号系統
591,循環１,785,2017,132.0,100円循環
