,year,p-amount,area,enter,exit,variable,date
226,1973,45,kinki,1973-06-05,1973-07-04,g-enter,1900-06-05
227,1974,131,kinki,1974-06-11,1974-07-20,g-enter,1900-06-11
228,1975,96,kinki,1975-06-05,1975-07-15,g-enter,1900-06-05
229,1976,87,kinki,1976-06-05,1976-07-20,g-enter,1900-06-05
230,1977,74,kinki,1977-06-07,1977-07-20,g-enter,1900-06-07
231,1978,79,kinki,1978-06-11,1978-07-03,g-enter,1900-06-11
232,1979,93,kinki,1979-06-07,1979-07-22,g-enter,1900-06-07
233,1980,121,kinki,1980-05-29,1980-07-20,g-enter,1900-05-29
234,1981,72,kinki,1981-06-11,1981-07-16,g-enter,1900-06-11
235,1982,92,kinki,1982-06-13,1982-07-27,g-enter,1900-06-13
236,1983,104,kinki,1983-06-12,1983-07-25,g-enter,1900-06-12
237,1984,122,kinki,1984-06-08,1984-07-17,g-enter,1900-06-08
238,1985,126,kinki,1985-06-07,1985-07-15,g-enter,1900-06-07
239,1986,108,kinki,1986-06-16,1986-07-27,g-enter,1900-06-16
240,1987,90,kinki,1987-06-08,1987-07-24,g-enter,1900-06-08
241,1988,152,kinki,1988-06-08,1988-07-31,g-enter,1900-06-08
242,1989,90,kinki,1989-06-08,1989-07-19,g-enter,1900-06-08
243,1990,80,kinki,1990-05-31,1990-07-18,g-enter,1900-05-31
244,1991,111,kinki,1991-05-26,1991-07-21,g-enter,1900-05-26
245,1992,75,kinki,1992-06-07,1992-07-21,g-enter,1900-06-07
246,1993,155,kinki,1993-05-30,,g-enter,1900-05-30
247,1994,41,kinki,1994-06-08,1994-07-10,g-enter,1900-06-08
248,1995,123,kinki,1995-06-03,1995-07-23,g-enter,1900-06-03
249,1996,92,kinki,1996-06-07,1996-07-11,g-enter,1900-06-07
250,1997,125,kinki,1997-06-02,1997-07-18,g-enter,1900-06-02
251,1998,108,kinki,1998-06-02,1998-07-31,g-enter,1900-06-02
252,1999,128,kinki,1999-06-03,1999-07-22,g-enter,1900-06-03
253,2000,61,kinki,2000-06-09,2000-07-18,g-enter,1900-06-09
254,2001,74,kinki,2001-06-05,2001-07-19,g-enter,1900-06-05
255,2002,71,kinki,2002-06-11,2002-07-20,g-enter,1900-06-11
256,2003,106,kinki,2003-06-10,2003-08-01,g-enter,1900-06-10
257,2004,61,kinki,2004-06-06,2004-07-13,g-enter,1900-06-06
258,2005,76,kinki,2005-06-11,2005-07-18,g-enter,1900-06-11
259,2006,142,kinki,2006-06-08,2006-07-27,g-enter,1900-06-08
260,2007,111,kinki,2007-06-14,2007-07-24,g-enter,1900-06-14
261,2008,71,kinki,2008-05-28,2008-07-12,g-enter,1900-05-28
262,2009,95,kinki,2009-06-03,2009-08-03,g-enter,1900-06-03
263,2010,137,kinki,2010-06-13,2010-07-17,g-enter,1900-06-13
264,2011,95,kinki,2011-05-22,2011-07-08,g-enter,1900-05-22
265,2012,126,kinki,2012-06-08,2012-07-16,g-enter,1900-06-08
266,2013,81,kinki,2013-05-27,2013-07-08,g-enter,1900-05-27
267,2014,49,kinki,2014-06-03,2014-07-20,g-enter,1900-06-03
268,2015,144,kinki,2015-06-03,2015-07-24,g-enter,1900-06-03
269,2016,103,kinki,2016-06-04,2016-07-18,g-enter,1900-06-04
270,2017,81,kinki,2017-06-20,2017-07-13,g-enter,1900-06-20
271,2018,162,kinki,2018-06-05,2018-07-09,g-enter,1900-06-05
272,1951,114,kyusyu-n,1951-06-14,1951-07-19,g-enter,1900-06-14
273,1952,91,kyusyu-n,1952-06-08,1952-07-15,g-enter,1900-06-08
274,1953,185,kyusyu-n,1953-05-28,1953-07-20,g-enter,1900-05-28
275,1954,173,kyusyu-n,1954-05-13,1954-08-01,g-enter,1900-05-13
276,1955,96,kyusyu-n,1955-06-03,1955-07-10,g-enter,1900-06-03
277,1956,88,kyusyu-n,1956-05-21,1956-07-22,g-enter,1900-05-21
278,1957,154,kyusyu-n,1957-06-05,1957-07-29,g-enter,1900-06-05
