,year,p-amount,area,enter,exit,variable,date
1436,1959,74,tokai,1959-06-19,1959-07-20,g-exit,1900-07-20
1437,1960,75,tokai,1960-06-21,1960-07-11,g-exit,1900-07-11
1438,1961,145,tokai,1961-06-21,1961-07-14,g-exit,1900-07-14
1439,1962,165,tokai,1962-06-03,1962-07-12,g-exit,1900-07-12
1440,1963,104,tokai,1963-05-04,1963-06-22,g-exit,1900-06-22
1441,1964,85,tokai,1964-06-20,1964-07-22,g-exit,1900-07-22
1442,1965,108,tokai,1965-06-12,1965-07-24,g-exit,1900-07-24
1443,1966,117,tokai,1966-06-15,1966-07-13,g-exit,1900-07-13
1444,1967,100,tokai,1967-06-22,1967-07-15,g-exit,1900-07-15
1445,1968,121,tokai,1968-06-13,1968-07-18,g-exit,1900-07-18
1446,1969,133,tokai,1969-06-17,1969-07-14,g-exit,1900-07-14
1447,1970,137,tokai,1970-06-10,1970-07-18,g-exit,1900-07-18
1448,1971,98,tokai,1971-06-03,1971-07-29,g-exit,1900-07-29
1449,1972,152,tokai,1972-06-12,1972-07-18,g-exit,1900-07-18
1450,1973,55,tokai,1973-06-06,1973-07-05,g-exit,1900-07-05
1451,1974,170,tokai,1974-06-11,1974-07-20,g-exit,1900-07-20
1452,1975,94,tokai,1975-06-05,1975-07-15,g-exit,1900-07-15
1453,1976,106,tokai,1976-06-05,1976-07-21,g-exit,1900-07-21
1454,1977,81,tokai,1977-06-07,1977-07-20,g-exit,1900-07-20
1455,1978,86,tokai,1978-06-11,1978-07-04,g-exit,1900-07-04
1456,1979,81,tokai,1979-06-07,1979-07-23,g-exit,1900-07-23
1457,1980,113,tokai,1980-06-08,1980-07-21,g-exit,1900-07-21
1458,1981,70,tokai,1981-06-11,1981-07-15,g-exit,1900-07-15
1459,1982,116,tokai,1982-06-17,1982-07-30,g-exit,1900-07-30
1460,1983,108,tokai,1983-06-12,1983-07-26,g-exit,1900-07-26
1461,1984,111,tokai,1984-06-08,1984-07-19,g-exit,1900-07-19
1462,1985,127,tokai,1985-06-08,1985-07-14,g-exit,1900-07-14
1463,1986,100,tokai,1986-06-16,1986-07-27,g-exit,1900-07-27
1464,1987,75,tokai,1987-06-09,1987-07-24,g-exit,1900-07-24
1465,1988,127,tokai,1988-06-08,1988-07-30,g-exit,1900-07-30
1466,1989,134,tokai,1989-06-09,1989-07-19,g-exit,1900-07-19
1467,1990,80,tokai,1990-06-01,1990-07-18,g-exit,1900-07-18
1468,1991,110,tokai,1991-05-31,1991-07-21,g-exit,1900-07-21
1469,1992,74,tokai,1992-06-07,1992-07-19,g-exit,1900-07-19
1470,1993,158,tokai,1993-05-30,,g-exit,
1471,1994,51,tokai,1994-06-07,1994-07-11,g-exit,1900-07-11
1472,1995,104,tokai,1995-06-03,1995-07-23,g-exit,1900-07-23
1473,1996,89,tokai,1996-06-08,1996-07-11,g-exit,1900-07-11
1474,1997,122,tokai,1997-06-02,1997-07-19,g-exit,1900-07-19
1475,1998,121,tokai,1998-06-02,1998-07-31,g-exit,1900-07-31
1476,1999,113,tokai,1999-06-15,1999-07-22,g-exit,1900-07-22
1477,2000,86,tokai,2000-06-09,2000-07-16,g-exit,1900-07-16
1478,2001,52,tokai,2001-06-05,2001-07-02,g-exit,1900-07-02
1479,2002,88,tokai,2002-06-11,2002-07-20,g-exit,1900-07-20
1480,2003,105,tokai,2003-06-10,2003-07-31,g-exit,1900-07-31
1481,2004,78,tokai,2004-06-06,2004-07-13,g-exit,1900-07-13
1482,2005,83,tokai,2005-06-11,2005-07-18,g-exit,1900-07-18
1483,2006,105,tokai,2006-06-08,2006-07-26,g-exit,1900-07-26
1484,2007,130,tokai,2007-06-14,2007-07-27,g-exit,1900-07-27
1485,2008,77,tokai,2008-05-28,2008-07-12,g-exit,1900-07-12
1486,2009,108,tokai,2009-06-03,2009-08-03,g-exit,1900-08-03
1487,2010,100,tokai,2010-06-13,2010-07-17,g-exit,1900-07-17
1488,2011,103,tokai,2011-05-22,2011-07-08,g-exit,1900-07-08
1489,2012,102,tokai,2012-06-08,2012-07-23,g-exit,1900-07-23
1490,2013,68,tokai,2013-05-28,2013-07-07,g-exit,1900-07-07
1491,2014,60,tokai,2014-06-04,2014-07-21,g-exit,1900-07-21
1492,2015,135,tokai,2015-06-03,2015-07-24,g-exit,1900-07-24
1493,2016,89,tokai,2016-06-04,2016-07-28,g-exit,1900-07-28
1494,2017,67,tokai,2017-06-21,2017-07-15,g-exit,1900-07-15
1495,2018,110,tokai,2018-06-05,2018-07-09,g-exit,1900-07-09
